,Player,Nation,Pos,Squad,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Medium Cmp,Medium Att,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Cluster
0,Max Aarons,ENG,DF,Norwich City,2000,32.0,64,44,49,15,0,37,55,18,39,19,20,28,92,96,1,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0,8,0,0,27,52,1,50,28,44,0,2,1,154,13,50,1107,1469,75.4,16588,6133,645,713,383,511,57,160,2,1.7,1.7,0.3,20,50,37,9,117,1841,160,721,703,440,23,1841,68,34,34,953,6454,3377,78,47,12,38,23,1030,85,0,13,2,0.41,0.06,0.0,0.0,19.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,1
2,Rayan Aït Nouri,ALG,DF|MF,Wolves,2001,20.3,64,36,46,15,3,22,44,22,24,2,22,22,86,39,1,45,2.22,30,8,4,0,2,1,6,0.3,4,1,0,0,1,0,4,0,0,14,20,3,96,22,36,1,0,0,128,17,13,763,1025,74.4,12151,4064,418,472,273,361,54,141,2,1.6,1.1,0.4,17,28,14,10,49,1293,49,459,458,392,39,1293,81,42,39,659,3744,1969,60,38,19,44,27,736,127,1,13,4,0.64,0.2,0.08,0.25,17.6,0,0,0,0.6,0.6,0.04,0.4,0.4,1
3,Kristoffer Ajer,NOR,DF,Brentford,1998,22.2,29,18,21,6,2,13,21,8,19,11,8,26,55,74,0,33,1.5,22,6,2,1,1,1,7,0.32,3,1,2,0,1,0,5,0,0,12,16,0,17,26,18,0,0,0,109,49,31,627,892,70.3,10133,4740,303,372,255,342,47,105,3,1.7,1.8,1.3,8,41,13,2,82,1101,108,442,484,181,31,1101,18,13,5,488,2991,1717,30,25,2,25,7,530,29,1,7,1,0.32,0.05,0.14,1.0,8.8,0,0,0,0.8,0.8,0.11,0.2,0.2,1
6,Thiago Alcántara,ESP,MF,Liverpool,1991,17.0,48,29,14,24,10,10,42,32,22,2,20,26,74,13,2,67,3.93,57,0,1,7,1,1,6,0.35,6,0,0,0,0,0,2,0,0,19,13,0,4,26,29,0,0,0,126,31,12,1340,1508,88.9,24737,7150,573,624,594,640,150,190,4,2.3,1.7,1.7,29,211,26,1,214,1700,32,247,1106,362,20,1700,32,20,12,1039,5003,2393,24,43,1,16,13,1279,45,1,25,6,1.47,0.35,0.04,0.17,19.3,0,0,0,1.9,1.9,0.08,-0.9,-0.9,1
9,Allan,BRA,MF,Everton,1991,24.3,74,44,28,39,7,34,105,71,40,9,31,23,97,39,1,38,1.57,35,0,1,0,1,1,7,0.29,5,0,1,0,1,0,7,1,0,30,22,0,10,23,44,1,0,0,191,11,15,778,982,79.2,12868,4192,356,405,337,402,57,102,2,0.8,1.0,1.2,15,103,20,3,130,1259,77,324,763,191,7,1259,31,21,10,650,3118,1603,26,24,4,38,24,672,18,0,7,3,0.29,0.12,0.0,0.0,24.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,1
12,Miguel Almirón,PAR,MF|FW,Newcastle Utd,1994,19.1,47,29,23,17,7,11,44,33,14,1,13,20,67,13,0,49,2.57,36,0,3,8,2,0,4,0.21,3,0,1,0,0,0,2,0,0,17,25,9,20,20,29,0,0,0,96,5,14,402,511,78.7,5720,1254,229,264,118,149,23,38,0,0.9,0.6,-0.9,16,26,5,0,46,728,22,135,302,307,43,728,39,26,13,446,2959,1319,44,21,12,44,24,471,85,1,32,7,1.68,0.37,0.03,0.14,19.6,0,0,0,1.7,1.7,0.05,-0.7,-0.7,1
15,Daniel Amartey,GHA,DF,Leicester City,1994,23.6,26,13,19,7,0,19,29,10,30,22,8,21,47,93,4,18,0.76,18,0,0,0,0,0,1,0.04,1,0,0,0,0,0,4,0,0,14,8,1,0,21,13,0,0,0,145,33,37,1399,1546,90.5,25246,8400,508,550,769,810,103,140,0,0.2,0.4,-0.2,4,71,1,0,62,1752,246,872,832,52,6,1752,7,6,1,1133,5040,2786,14,12,1,7,1,1278,0,0,2,1,0.08,0.04,0.0,0.0,34.1,0,0,0,0.0,0.0,0.01,0.0,0.0,1
16,Joachim Andersen,DEN,DF,Crystal Palace,1996,32.4,30,23,21,9,0,16,27,11,29,19,10,37,67,125,3,33,1.02,30,1,0,1,0,1,4,0.12,3,0,0,1,0,0,4,0,0,19,8,1,8,37,23,0,0,1,152,56,48,1911,2351,81.3,44144,15836,410,480,1138,1224,349,604,3,1.7,1.9,1.3,20,151,11,2,100,2614,425,1538,1005,80,32,2614,9,7,2,1604,8191,4478,14,5,2,8,8,1865,4,0,8,3,0.25,0.09,0.0,0.0,15.3,1,0,0,0.7,0.7,0.08,-0.7,-0.7,1
26,Luke Ayling,ENG,DF,Leeds United,1991,25.2,74,42,46,23,5,51,97,46,46,25,21,28,102,52,1,33,1.31,24,1,0,7,0,1,5,0.2,1,0,0,3,0,1,4,1,0,22,19,2,31,28,42,0,1,0,187,34,50,1224,1592,76.9,22964,10551,535,606,517,619,154,294,2,1.8,1.0,0.2,12,98,11,4,135,1884,178,905,758,244,35,1884,37,23,14,1002,5566,3583,45,23,2,42,10,1147,51,2,19,3,0.75,0.12,0.11,0.67,13.0,0,0,0,1.2,1.2,0.07,0.8,0.8,1
27,César Azpilicueta,ESP,DF,Chelsea,1989,23.0,51,28,18,27,6,16,35,19,32,9,23,23,74,65,1,48,2.09,43,0,2,3,0,0,8,0.35,6,0,1,1,0,0,3,0,0,25,5,2,47,23,28,0,1,0,110,46,29,1486,1787,83.2,22185,8377,809,904,565,643,65,139,2,1.8,2.3,0.2,17,104,19,2,138,2017,112,616,932,480,53,2017,19,15,4,1098,4607,2789,49,33,7,21,10,1420,132,1,11,4,0.48,0.17,0.09,0.25,14.7,0,0,0,0.9,0.9,0.08,0.1,0.1,1
