Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err
1,Luis Abram,PER,DF,Granada,25,1996,6.2,6,3,3,3,0,2,4,50.0,2,6,5,1,5,11,37,1
2,Marcos Acuña,ARG,DF,Sevilla,29,1991,25.1,50,29,27,14,9,30,46,65.2,16,22,5,17,14,64,25,1
3,Martin Agirregabiria,ESP,DF,Alavés,25,1996,18.0,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0
4,Julen Agirrezabala,ESP,GK,Athletic Club,20,2000,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
5,Sergio Agüero,ARG,FW,Barcelona,33,1988,1.7,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,0,0
6,Álvaro Aguirre,ESP,FW,Rayo Vallecano,21,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
7,Joseph Aidoo,GHA,DF,Celta Vigo,25,1995,29.3,39,26,28,10,1,17,31,54.8,14,23,13,10,38,77,96,3
8,Carlos Akapo,EQG,DF,Cádiz,28,1993,20.5,43,31,26,15,2,21,37,56.8,16,26,7,19,51,94,61,0
9,Ilias Akhomach,ESP,FW,Barcelona,17,2004,1.4,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0
10,Paul Akouokou,CIV,MF,Betis,23,1997,5.7,14,9,5,7,2,8,12,66.7,4,6,0,6,11,25,6,0
11,David Alaba,AUT,DF,Real Madrid,29,1992,29.4,23,13,15,6,2,9,19,47.4,10,26,15,11,22,45,70,1
12,Tomás Alarcón,CHI,MF,Cádiz,22,1999,15.8,31,20,17,10,4,10,31,32.3,21,19,7,12,30,61,31,0
13,Jordi Alba,ESP,DF,Barcelona,32,1989,29.4,47,34,12,26,9,27,47,57.4,20,26,6,20,33,80,41,1
14,Raúl Albiol,ESP,DF,Villarreal,35,1985,27.4,26,15,20,5,1,14,18,77.8,4,24,15,9,21,47,126,1
15,Paco Alcácer,ESP,FW,Villarreal,27,1993,8.7,9,3,2,4,3,1,5,20.0,4,7,0,7,6,15,1,0
16,Rubén Alcaraz,ESP,MF,Cádiz,30,1991,12.3,41,20,14,24,3,22,45,48.9,23,10,2,8,13,54,14,0
